problem size	l1 accesses	l2 accesses	l3 accesses	 mem accesses
256	30564796	608612	511164	66058
500	37397201	778147	626875	83612
864	44446739	961173	745969	93200
1372	51219173	1207902	859517	104535
2048	58134700	1544879	982453	124223
2916	65069656	1718402	1101309	141207
4000	72112815	1889811	1219211	152997
5324	78813812	2053905	1330775	174481
6912	85874459	2242865	1461628	196377
8788	92724976	2433273	1583026	219676
10976	99453881	2601092	1717652	256271
13500	106545849	2783218	1840881	337669
