problem size	l1 accesses	l2 accesses	l3 accesses	 mem accesses
4000	71941089	1901612	1219008	153485
32000	141086561	3668849	2451222	582387
108000	210586889	5743425	3881247	3374992
256000	278801400	7595673	5077915	4501955
500000	348110613	9479644	6474425	5668829
864000	417816647	11404917	8333841	6953731
1372000	485984536	13216380	9945570	8050886
2048000	556452833	15125954	12090291	9392819
2916000	625270293	17006193	13905882	10716008
4000000	694425552	18892237	15727483	12100964
