problem size	l1 accesses	l2 accesses	l3 accesses	 mem accesses
4000	84473355	6004774	3241867	164785
32000	131340195	8340353	4052607	258837
108000	177966543	10667443	4896013	675065
256000	224159819	12959401	6156489	1308954
500000	270131181	15303866	7313298	1836753
864000	317084807	17140262	8506734	2288137
1372000	362315897	19718428	9990641	2726389
2048000	409674439	21570025	11211721	3129867
2916000	455268215	23773609	12786583	3540406
4000000	502494746	25349628	14013638	3934209
