71941089	1901612	1219008	143580
141086561	3668849	2451222	274138
210586889	5743425	3881247	418069
278801400	7595673	5077915	565529
348110613	9479644	6474425	744644
417816647	11404917	8333841	1196456
485984536	13216380	9945570	1573546
556452833	15125954	12090291	2440289
625270293	17006193	13905882	3904062
694425552	18892237	15727483	10328461
